name,desc,category,,
کرم پودر مات,"کنترل چربی و پوشش‌دهی کامل پوست، ایجاد ظاهر یکنواخت و طبیعی، افزایش ماندگاری آرایش، مناسب استفاده روزانه",آرایشی,,
رژ لب مایع,"رنگ‌دهی قوی با ماندگاری طولانی، مرطوب‌کننده لب‌ها، جلوگیری از ترک و خشکی، مناسب انواع میکاپ",آرایشی,,
ریمل حجم‌دهنده,"افزایش حجم و حالت‌دهی مژه‌ها، مقاوم در برابر ریزش، ایجاد جلوه طبیعی چشم، مناسب استفاده روزانه و مهمانی",آرایشی,,
سایه چشم نود,"ایجاد جلوه طبیعی، ترکیب‌پذیری آسان با سایر رنگ‌ها، مناسب آرایش روزانه و ملایم",آرایشی,,
خط چشم ماژیکی,"نوک دقیق برای طراحی خطوط ظریف و ضخیم، خشک شدن سریع، ضدلرز و ماندگار، مناسب آرایش چشم",آرایشی,,
پرایمر آرایشی,"صاف و یکدست کردن پوست، کوچک کردن منافذ، افزایش ماندگاری کرم‌پودر و دیگر محصولات آرایشی",آرایشی,,
پنکیک فشرده,"تثبیت کرم‌پودر، کنترل چربی پوست، کاهش براقیت، ایجاد ظاهر مات و یکنواخت",آرایشی,,
هایلایتر,"برجسته‌سازی گونه و بینی، ایجاد درخشش طبیعی، مناسب تکمیل آرایش صورت",آرایشی,,
کانسیلر,"پوشاندن تیرگی زیر چشم و لک‌ها، روشن‌کننده نواحی تیره، افزایش جلوه طبیعی پوست",آرایشی,,S
رژگونه پودری,"افزودن شادابی و طراوت به چهره، ایجاد رنگ طبیعی روی گونه‌ها، تکمیل آرایش",آرایشی,,
برنزر,"ایجاد ظاهر آفتاب‌سوخته طبیعی، کانتورینگ ملایم صورت، مناسب برجسته‌سازی گونه‌ها و بینی",آرایشی,,
مداد ابرو,"پرکردن نقاط خالی ابرو، ایجاد فرم طبیعی و منظم، تثبیت آرایش ابرو",آرایشی,,
فیکساتور اسپری,"تثبیت آرایش و جلوگیری از پخش شدن آن، افزایش دوام و ماندگاری محصولات آرایشی",آرایشی,,
پرایمر چشم,"ایجاد پایه صاف برای سایه چشم، جلوگیری از خط افتادن سایه، افزایش دوام آرایش پلک‌ها",آرایشی,,
کرم کانتور,"ایجاد بعد و فرم‌دهی به گونه و بینی، مناسب کانتورینگ طبیعی و حرفه‌ای",آرایشی,,
پالت سایه براق,"درخشش بالا و جلوه مجلسی، ترکیب‌پذیری آسان، مناسب آرایش شب و مهمانی",آرایشی,,
رژ لب جامد,"رنگ‌دهی یکنواخت و نرم، مرطوب‌کننده لب، جلوگیری از خشکی و ترک لب‌ها",آرایشی,,
خط لب,"ایجاد کادر دقیق برای لب‌ها، افزایش ماندگاری رژ لب، جلوگیری از پخش شدن رنگ",آرایشی,,
کرم بی‌بی,"پوشش سبک و طبیعی، آبرسانی پوست، مناسب استفاده روزانه و پوشاندن نقص‌های جزئی",آرایشی,,
کرم سی‌سی,"یکنواخت‌سازی رنگ پوست، کاهش قرمزی و لک‌ها، ایجاد ظاهر طبیعی و سالم",آرایشی,,
تینت لب و گونه,"رنگ شفاف و سبک، ایجاد جلوه طبیعی و ملایم، مناسب آرایش روزانه",آرایشی,,
اسپری براق‌کننده صورت,"ایجاد درخشش و جلوه طبیعی، مناسب تکمیل آرایش و استفاده در طول روز",آرایشی,,
ژل ابرو,"لیفت و تثبیت موهای ابرو، ایجاد فرم طبیعی و مرتب، مناسب آرایش روزانه",آرایشی,,
لاک ناخن ژله‌ای,"درخشندگی بالا و ماندگاری طولانی، خشک شدن سریع، مقاوم در برابر لب‌پر شدن",آرایشی,,
نوار پاک‌کننده آرایش,"پاکسازی سریع آرایش صورت، مناسب استفاده در سفر و محیط بیرون، بدون آسیب به پوست",آرایشی,,
کرم مرطوب‌کننده,"آبرسانی عمیق پوست خشک و حساس، نرم و لطیف کردن پوست، جلوگیری از ترک‌خوردگی و خشکی، مناسب استفاده روزانه",بهداشتی,,
شامپو تقویتی,"تقویت ریشه و ساقه مو، کاهش ریزش، افزایش استحکام و درخشندگی موها، مناسب موهای ضعیف و آسیب‌دیده",بهداشتی,,
شامپو ضدشوره,"کاهش و جلوگیری از شوره سر، کنترل چربی پوست سر، کاهش خارش و التهاب، مناسب استفاده روزانه",بهداشتی,,
نرم‌کننده مو,"نرمی و لطافت موها، جلوگیری از گره‌خوردگی، افزایش حالت‌پذیری و درخشندگی، مناسب پس از شستشو",بهداشتی,,
سرم مو کراتینه,"ترمیم موهای آسیب‌دیده و خشک، کاهش وز و شکستگی مو، ایجاد صافی و نرمی، مناسب استفاده هفتگی",بهداشتی,,
ژل شست‌وشوی صورت,"پاکسازی عمقی منافذ و چربی اضافی، جلوگیری از ایجاد جوش و آکنه، مناسب انواع پوست‌ها",بهداشتی,,
